promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pll,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm_pll,concordance_n5,composite_v2
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,1.0200,87.8800,1,1,1,1,1,5,0.9188
PamyB,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,1.0200,89.3100,1,1,1,1,1,5,0.9163
PglaA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.8670,87.8800,1,1,1,1,1,5,0.8726
PglaA,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.8670,89.3100,1,1,1,1,1,5,0.8701
PamyB,SPamyB_pro,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,1.0200,87.8800,1,0,1,1,1,4,0.9344
PamyB,SPamyB_pro,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,1.0200,87.8800,1,0,1,1,1,4,0.9344
PamyB,SPamyB_pro,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,1.0200,89.3100,1,0,1,1,1,4,0.9318
PamyB,SPamyB_pro,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,1.0200,89.3100,1,0,1,1,1,4,0.9318
PamyB,SPamyB,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,88.6800,1,0,1,1,1,4,0.9274
PamyB,SPamyB,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,88.6800,1,0,1,1,1,4,0.9274
PamyB,SPamyB,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,1.0000,90.0000,1,0,1,1,1,4,0.9243
PamyB,SPamyB,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,1.0000,90.0000,1,0,1,1,1,4,0.9243
PamyB,SPamyB,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,87.5300,1,0,1,1,1,4,0.9216
PamyB,SPamyB,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,1.0000,87.5300,1,0,1,1,1,4,0.9216
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,1.0200,86.4200,1,1,1,1,0,4,0.9115
PamyB,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-12.3000,0.0000,0.9200,85.4200,1,1,1,1,0,4,0.8938
PamyB,SPalpA_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-12.3000,0.0000,0.9200,84.7400,1,1,1,1,0,4,0.8904
PglaA,SPamyB_pro,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,0.8670,87.8800,1,0,1,1,1,4,0.8882
PglaA,SPamyB_pro,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.7000,0.0000,0.8670,87.8800,1,0,1,1,1,4,0.8882
PglaA,SPamyB_pro,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,0.8670,89.3100,1,0,1,1,1,4,0.8857
PglaA,SPamyB_pro,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.7000,0.2500,0.8670,89.3100,1,0,1,1,1,4,0.8857
PglaA,SPamyB,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,0.8500,88.6800,1,0,1,1,1,4,0.8821
PglaA,SPamyB,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,0.8500,88.6800,1,0,1,1,1,4,0.8821
PamyB,SPalpA,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.1000,0.2500,0.8800,86.1600,1,1,1,1,0,4,0.8813
PamyB,SPalpA,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-16.1000,0.2500,0.8800,86.1600,1,1,1,1,0,4,0.8813
PglaA,SPamyB,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,0.8500,90.0000,1,0,1,1,1,4,0.8790
PglaA,SPamyB,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.0000,-17.1000,0.2500,0.8500,90.0000,1,0,1,1,1,4,0.8790
PglaA,SPamyB,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,0.8500,87.5300,1,0,1,1,1,4,0.8763
PglaA,SPamyB,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-17.1000,0.0000,0.8500,87.5300,1,0,1,1,1,4,0.8763
PamyB,SPalpA,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.1000,0.0000,0.8800,82.7200,1,1,1,1,0,4,0.8738
PamyB,SPalpA,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-16.1000,0.0000,0.8800,82.7200,1,1,1,1,0,4,0.8738
PamyB,SPalpA,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-16.1000,0.0000,0.8800,81.3200,1,1,1,1,0,4,0.8668
PamyB,SPalpA,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-16.1000,0.0000,0.8800,81.3200,1,1,1,1,0,4,0.8668
PglaA,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.8670,86.4200,1,1,1,1,0,4,0.8653
PamyB,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-18.2000,0.0000,1.0000,88.6800,1,0,1,1,1,4,0.8605
PamyB,SPalpA_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-12.3000,0.2500,0.9200,80.4500,1,1,1,1,0,4,0.8593
PamyB,SPamyB,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-18.2000,0.2500,1.0000,90.0000,1,0,1,1,1,4,0.8574
PamyB,SPamyB,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-18.2000,0.0000,1.0000,87.5300,1,0,1,1,1,4,0.8548
PglaA,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-12.3000,0.0000,0.7820,85.4200,1,1,1,1,0,4,0.8522
PglaA,SPalpA_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-12.3000,0.0000,0.7820,84.7400,1,1,1,1,0,4,0.8488
PenoA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.7140,87.8800,1,1,1,0,1,4,0.8264
PenoA,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.7140,89.3100,1,1,1,0,1,4,0.8239
PglaA,SPalpA_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-12.3000,0.2500,0.7820,80.4500,1,1,1,1,0,4,0.8176
PglaA,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-18.2000,0.0000,0.8500,88.6800,1,0,1,1,1,4,0.8153
PamyB,SPglaA,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-25.0000,0.0000,0.9500,89.0200,1,0,1,1,1,4,0.8152
PamyB,SPglaA,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-25.0000,0.0000,0.9500,89.0200,1,0,1,1,1,4,0.8152
PglaA,SPamyB,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-18.2000,0.2500,0.8500,90.0000,1,0,1,1,1,4,0.8121
PtefI,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.6630,87.8800,1,1,1,0,1,4,0.8110
PglaA,SPamyB,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-18.2000,0.0000,0.8500,87.5300,1,0,1,1,1,4,0.8095
PtefI,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.6630,89.3100,1,1,1,0,1,4,0.8085
PamyB,SPglaA,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-22.3000,0.0000,0.9500,89.0200,1,0,1,1,1,4,0.7959
PnmtA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.6120,87.8800,1,1,1,0,1,4,0.7957
PnmtA,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.6120,89.3100,1,1,1,0,1,4,0.7931
PamyB,SPpepO_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-16.4000,0.0000,0.9000,74.2200,1,1,1,1,0,4,0.7805
PgpdA,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-13.7000,0.0000,0.5610,87.8800,1,1,1,0,1,4,0.7803
PgpdA,SPamyB_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-13.7000,0.2500,0.5610,89.3100,1,1,1,0,1,4,0.7777
PamyB,SPpepO_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-16.4000,0.0000,0.9000,73.0200,1,1,1,1,0,4,0.7745
PglaA,SPglaA,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-25.0000,0.0000,0.8075,89.0200,1,0,1,1,1,4,0.7722
PglaA,SPglaA,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-25.0000,0.0000,0.8075,89.0200,1,0,1,1,1,4,0.7722
PamyB,SPamyB_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.6787,-13.7000,0.0000,1.0200,87.8800,0,1,1,1,1,4,0.7719
PamyB,SPamyB_pro,5p_softened_balanced,direct_natag_pts1ok,prop_native,nglyc_ablated,0.6787,-13.7000,0.2500,1.0200,89.3100,0,1,1,1,1,4,0.7693
PamyB,SPpepO_pro,5p_softened,direct_natag_pts1ok,prop_native,nglyc_ablated,0.9147,-16.4000,0.2500,0.9000,73.0500,1,1,1,1,0,4,0.7650
PglaA,SPglaA,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-22.3000,0.0000,0.8075,89.0200,1,0,1,1,1,4,0.7529
PamyB,SPlipase,cai_max,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-28.3000,0.0000,0.8200,87.9500,1,0,1,1,1,4,0.7294
PamyB,SPlipase,high_gc,direct_3xAla_pts1blk,prop_none,nglyc_ablated,1.0000,-28.3000,0.0000,0.8200,87.9500,1,0,1,1,1,4,0.7294
PamyB,SPlipase,cai_max,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-28.3000,0.0000,0.8200,87.5900,1,0,1,1,1,4,0.7276
PamyB,SPlipase,high_gc,direct_his6_pts1ok,prop_none,nglyc_ablated,1.0000,-28.3000,0.0000,0.8200,87.5900,1,0,1,1,1,4,0.7276
PglaA,SPamyB_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.6787,-13.7000,0.0000,0.8670,87.8800,0,1,1,1,1,4,0.7257
PglaA,SPamyB_pro,5p_softened_balanced,direct_natag_pts1ok,prop_native,nglyc_ablated,0.6787,-13.7000,0.2500,0.8670,89.3100,0,1,1,1,1,4,0.7232
PamyB,SPlipase,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.9147,-24.8000,0.0000,0.8200,87.9500,1,0,1,1,1,4,0.7200
PamyB,SPlipase,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.9147,-24.8000,0.0000,0.8200,87.5900,1,0,1,1,1,4,0.7182
